Subject	Predicate	Object
MdtK	confers resistance to antibiotic 	Acriflavine
aac(3)-Id	confers resistance to antibiotic 	Aminoglycosides
aac(3)-Id	confers resistance to antibiotic 	Aminoglycosides
AAC(3)-IIa	confers resistance to antibiotic 	Aminoglycosides
aac(3)-Iid	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IId	confers resistance to antibiotic 	Aminoglycosides
aac(3)-III	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IV	confers resistance to antibiotic 	Aminoglycosides
aac(3)-IV	confers resistance to antibiotic 	Aminoglycosides
aac(3)-VI	confers resistance to antibiotic 	Aminoglycosides
aac(3)-VIa	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Iaa	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Iaa	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Ib 	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Ib 	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Ib-cr	confers resistance to antibiotic 	Aminoglycosides
aac(6')-Ib3	confers resistance to antibiotic 	Aminoglycosides
AAC(6')-Iy	confers resistance to antibiotic 	Aminoglycosides
aacC	confers resistance to antibiotic 	Aminoglycosides
aacC(3')	confers resistance to antibiotic 	Aminoglycosides
aacC(3)-IIa 	confers resistance to antibiotic 	Aminoglycosides
aacC(6') 	confers resistance to antibiotic 	Aminoglycosides
aacC1	confers resistance to antibiotic 	Aminoglycosides
aacC3	confers resistance to antibiotic 	Aminoglycosides
aadA	confers resistance to antibiotic 	Aminoglycosides
aadA	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA1	confers resistance to antibiotic 	Aminoglycosides
aadA12	confers resistance to antibiotic 	Aminoglycosides
aadA16	confers resistance to antibiotic 	Aminoglycosides
aadA17	confers resistance to antibiotic 	Aminoglycosides
aadA1b	confers resistance to antibiotic 	Aminoglycosides
aadA2	confers resistance to antibiotic 	Aminoglycosides
aadA2 	confers resistance to antibiotic 	Aminoglycosides
aadA22	confers resistance to antibiotic 	Aminoglycosides
addA	confers resistance to antibiotic 	Aminoglycosides
ant(3")-Ia	confers resistance to antibiotic 	Aminoglycosides
aph(3 )-Ii-iv	confers resistance to antibiotic 	Aminoglycosides
aph(3'')-Ib	confers resistance to antibiotic 	Aminoglycosides
aph(3'')-Ib	confers resistance to antibiotic 	Aminoglycosides
aph(3')-Ia	confers resistance to antibiotic 	Aminoglycosides
aph(3')-Ia	confers resistance to antibiotic 	Aminoglycosides
aph(3')-IIa	confers resistance to antibiotic 	Aminoglycosides
aph(6)-Id	confers resistance to antibiotic 	Aminoglycosides
phAI-IAB 	confers resistance to antibiotic 	Aminoglycosides
