Subject	Predicate	Object	Belief	Source size	Sources	Total source size	Mean belief of conflicting tuples	Belief difference	Conflicting tuple info
aas	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('aas', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
aceA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('aceA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
acrF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('acrF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
adhE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('adhE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
adk	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('adk', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
amn	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('amn', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
araC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('araC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
araH	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('araH', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
argA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('argA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
argD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('argD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
barA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('barA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
basR	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('basR', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
bigA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('bigA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
btuF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('btuF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
cadC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('cadC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
caiB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('caiB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
caiE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('caiE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
carA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('carA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
cbiP	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('cbiP', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
citE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('citE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
citT	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('citT', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
creA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('creA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
crl	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('crl', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
cspA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('cspA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
cycA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('cycA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
cyoB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('cyoB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
cysI	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('cysI', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
dacB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('dacB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
dmsC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('dmsC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
dnaE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('dnaE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
dsdX	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('dsdX', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
dxr	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('dxr', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
fdnH	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('fdnH', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
fdoG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('fdoG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
fdx	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('fdx', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
feoB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('feoB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
fhuA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('fhuA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
flgC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('flgC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
flgK	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('flgK', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
flhB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('flhB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
flhC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0000000000	[(('flhC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]
